Location,Row  ,Distanceft,Distancem,Rep,Type,Injury,Height
N,21,52.5,16.002,3,Non-covered,10,64
N,25,62.5,19.05,1,Non-covered,12,67
N,25,62.5,19.05,2,Non-covered,2,65
N,25,62.5,19.05,3,Non-covered,12,64
N,30,75,22.86,1,Non-covered,10,63
N,30,75,22.86,2,Non-covered,10,66
N,30,75,22.86,3,Non-covered,9,63
N,35,87.5,26.67,1,Non-covered,10,59
N,35,87.5,26.67,2,Non-covered,10,62
N,35,87.5,26.67,3,Non-covered,14,62
N,40,100,30.48,1,Non-covered,6,58
N,40,100,30.48,2,Non-covered,3,59
N,40,100,30.48,3,Non-covered,4,65
N,45,112.5,34.29,1,Non-covered,2,65
N,45,112.5,34.29,2,Non-covered,3,64
N,45,112.5,34.29,3,Non-covered,1,60
N,50,125,38.1,1,Non-covered,2,70
N,50,125,38.1,2,Non-covered,1,67
N,50,125,38.1,3,Non-covered,1,67
N,55,137.5,41.91,1,Non-covered,1,68
N,55,137.5,41.91,2,Non-covered,2,70
N,55,137.5,41.91,3,Non-covered,2,73
N,60,150,45.72,1,Non-covered,2,69
N,60,150,45.72,2,Non-covered,1,63
N,60,150,45.72,3,Non-covered,3,68
N,65,162.5,49.53,1,Non-covered,0,65
N,65,162.5,49.53,2,Non-covered,2,71
N,65,162.5,49.53,3,Non-covered,0,72
N,70,175,53.34,1,Non-covered,1,67
N,70,175,53.34,2,Non-covered,0,70
N,70,175,53.34,3,Non-covered,0,69
N,75,187.5,57.15,1,Non-covered,0,72
N,75,187.5,57.15,2,Non-covered,0,64
N,75,187.5,57.15,3,Non-covered,1,71
N,80,200,60.96,1,Non-covered,0,72
N,80,200,60.96,2,Non-covered,1,62
N,80,200,60.96,3,Non-covered,2,72
E,1,2.5,0.762,1,Covered,10,64
E,1,2.5,0.762,2,Covered,14,62
E,1,2.5,0.762,3,Covered,12,61
E,2,5,1.524,1,Covered,6,63
E,2,5,1.524,2,Covered,9,62
E,2,5,1.524,3,Covered,10,63
E,3,7.5,2.286,1,Covered,8,64
E,3,7.5,2.286,2,Covered,10,62
E,3,7.5,2.286,3,Covered,5,63
E,4,10,3.048,1,Covered,5,68
E,4,10,3.048,2,Covered,3,64
E,4,10,3.048,3,Covered,4,64
E,5,12.5,3.81,1,Covered,7,68
E,5,12.5,3.81,2,Covered,4,69
E,5,12.5,3.81,3,Covered,3,66
E,6,15,4.572,1,Covered,3,67
E,6,15,4.572,2,Covered,2,60
E,6,15,4.572,3,Covered,1,54
E,7,17.5,5.334,1,Covered,3,60
E,7,17.5,5.334,2,Covered,8,63
E,7,17.5,5.334,3,Covered,7,61
E,8,20,6.096,1,Covered,3,64
E,8,20,6.096,2,Covered,5,62
E,8,20,6.096,3,Covered,4,66
E,9,22.5,6.858,1,Covered,0,60
E,9,22.5,6.858,2,Covered,3,63
E,9,22.5,6.858,3,Covered,4,68
E,10,25,7.62,1,Covered,1,64
E,10,25,7.62,2,Covered,1,66
E,10,25,7.62,3,Covered,3,64
E,11,27.5,8.382,1,Covered,2,61
